key,en,fr,fr_CA,es,cmn_Hans,cmn_Hant,de,it,ru,ko,hi,ja,pt
LANGUAGES,English,Français,Québécois (Français canadien),Español,简体中文,繁體中文,Deutsch,Italiano,Русский,한국인,हिंदी,日本語,Português brasileiro
,English,French,French canadian,Spanish,Simplified Chinese,Traditional Chinese,German,Italian ,Russian,Korean ,Hindi,Japanese,Brazilian portuguese
#MENU,,,,,,,,,,,,,
PLAY,Play,Jouer,,Jugar,开始游戏,開始遊戲,Spielen,Gioca,Играть,플레이하기,Play,Play,Play
SETTINGS,Options,Options,,Opciones,选项,設定,Optionen,Opzioni,Параметры,옵션,Options,Options,Options
CREDITS,Credits,Crédits,,Créditos,制作人员,製作名單,Mitwirkende,Riconoscimenti,Авторы,크레딧,Credits,Credits,Credits
BACK,Back,Retour,,Atrás,返回,返回,Zurück,Indietro,Назад,뒤로가기,Back,Back,Back
EXIT,Exit,Quitter,,Salir,退出游戏,退出,Ausfahrt,Esci,Выйти,출구,Exit,Exit,Exit
#SETTINGS,,,,,,,,,,,,,
GENERAL,General,Général,,General,一般,一般,Allgemein,Generale,Общие,일반,General,General,General
LANGUAGES,Language,Langue,,Idioma,语言,語言,Sprache,Lingua,Язык,언어,Language,Language,Language
DISPLAY,Display,Affichage,,Pantalla,显示,顯示,Anzeige,Schermo,ЭКРАН,디스플레이,Display,Display,Display
WINDOWED,Windowed,Fenêtré,,En ventana,窗口模式,視窗模式,Im fenster,In finestra,В окне,창 모드,Windowed,Windowed,Windowed
FULLSCREEN,Full Screen,Plein écran,,Pantalla completa,全屏,全螢幕,Vollbild,Schermo Intero,На весь экран,전체 화면,Full Screen,Full Screen,Full Screen
VSYNC,VSync,VSync,VSync,VSync,垂直同步,垂直同步,VSync,VSync,VSync,버티컬 싱크,VSync,VSync,VSync
ENABLED,Enabled,Activé,,Activado,启用,啟用,Aktiviert,Abilitato,Включено,활성화,Enabled,Enabled,Enabled
DISABLED,Disabled,Désactivé,,Desactivado,禁用,禁用,Deaktiviert,Disabilitato,Выключено,비활성화,Disabled,Disabled,Disabled
ADAPTIVE,Adaptive,Adaptif,,Adaptativo,适应性,適應性,Adaptiv,Adattivo,Адаптивный,적응형,Adaptive,Adaptive,Adaptive
ADAPTIVE_TOOLTIP,Activate VSync only when the framerate is over the refresh rate of the display,Active VSync seulement quand le taux d'images par seconde (IPS) est au dessus du taux de rafraîchissement de l'écran,,Activar VSync solo cuando la tasa de fotogramas sea superior a la tasa de refresco de la pantalla,仅在帧率超过显示器刷新率时启用垂直同步,僅當幀率超過顯示器的刷新率時啟用垂直同步,"VSync nur aktivieren, wenn die Bildrate über der Bildwiederholrate des Displays liegt",Attiva VSync solo quando il frame rate supera la frequenza di aggiornamento del display,Активировать VSync только при частоте кадров выше частоты обновления дисплея,프레임 속도가 디스플레이의 주사율을 초과할 때만 버티컬 싱크 활성화,Activate VSync only when the framerate is over the refresh rate of the display,Activate VSync only when the framerate is over the refresh rate of the display,Activate VSync only when the framerate is over the refresh rate of the display
AUDIO,Audio,Audio,,Sonido,音频,音頻,Audio,Audio,Аудио,오디오,Audio,Audio,Audio
MASTER,Master,Principal,,Principal,主音量,主控,Gesamtlautstärke,Generale,Общая громкость,마스터,Master,Master,Master
MUSIC,Music,Musique,,Música,音乐,主音量,Musiklautstärke,Musica,Музыка,음악,Music,Music,Music
SFX,SFX,Effets sonores,,Efectos,音效,音效,Soundeffektlautstärke,Effetti sonori,Звуковые эффекты,효과음,SFX,SFX,SFX
#CREDITS,,,,,,,,,,,,,
GAME_BY,Game by,Un jeu par,,Un juego de,游戏制作,遊戲由,Spiel von,Gioco realizzato da,Игра создана,게임 제작자,Game by,Game by,Game by
VISUAL,Visuals,Visuels,,Gráficos,视觉效果,視覺效果,Grafiken,Visivi,Визуальные эффекты,비주얼,Visuals,Visuals,Visuals
SOUND,Sounds,Sons,,Sonidos,声音,聲音,Geräusche,Suoni,Звуковое оформление,사운드,Sounds,Sounds,Sounds
GAME_ENGINE,Made in Godot,Créé avec Godot,,Hecho en Godot,由 Godot 制作,在Godot製作,Hergestellt in Godot,Creato in Godot,Сделано в Годо,Godot로 제작됨,Made in Godot,Made in Godot,Made in Godot
#TUTORIAL,,,,,,,,,,,,,
VISIT_STEAM,Visit on Steam,Visitez la page Steam,,Visitar en Steam,在Steam上访问,前往 Steam,Auf Steam besuchen,Visita su Steam,Посетите в Steam,Steam에서 방문,Visit on Steam,Visit on Steam,Visite na Steam
PLAY_STEAM,"Congrats on finishing the Piece by Piece demo and thank you for playing!

Wishlist our game on Steam and be amongst the first to experience all 8 unique puzzle boxes with 100 levels!","Félicitations pour avoir terminé la démo de Piece by Piece et merci d'avoir joué !

Ajoutez notre jeu à votre liste de souhaits sur Steam et soyez parmi les premiers à découvrir ses 8 boîtes de puzzle uniques et ses 100 niveaux !",,"¡Felicidades por terminar la demo de Piece by Piece y gracias por jugar!

¡Agrega nuestro juego a tu lista de deseos en Steam y sé uno de los primeros en experimentar las 8 cajas de rompecabezas únicas con 100 niveles!","恭喜完成《Piece by Piece》演示版，感谢您的游玩！
在Steam上添加我们的游戏愿望单，成为首批体验所有8个独特拼图盒和100个关卡的玩家！","恭喜您完成了《Piece by Piece》演示，感謝您的參與！

在 Steam 上將我們的遊戲加入願望清單，成為首批體驗全部 8 個獨特謎題盒和 100 個關卡的玩家！","Glückwunsch zum Abschluss der Piece by Piece-Demo und vielen Dank fürs Spielen!

Setze unser Spiel auf deine Wunschliste auf Steam und sei einer der Ersten, der alle 8 einzigartigen Puzzleboxen mit 100 Levels erlebt!","Congratulazioni per aver completato la demo di Piece by Piece e grazie per aver giocato!

Aggiungi il nostro gioco alla tua lista dei desideri su Steam e sii tra i primi a provare tutte le 8 scatole puzzle uniche con 100 livelli!","Поздравляем с прохождением демоверсии Piece by Piece и спасибо за игру!

Добавьте нашу игру в список желаемого в Steam и будьте среди первых, кто испытает все 8 уникальных головоломок со 100 уровнями!","Piece by Piece 데모를 완료하신 것을 축하드리며, 플레이해주셔서 감사합니다!

Steam에서 우리 게임을 위시리스트에 추가하고, 8개의 독특한 퍼즐 박스와 100개의 레벨을 가장 먼저 경험해보세요!","Congrats on finishing the Piece by Piece demo and thank you for playing!

Wishlist our game on Steam and be amongst the first to experience all 8 unique puzzle boxes with 100 levels!","Congrats on finishing the Piece by Piece demo and thank you for playing!

Wishlist our game on Steam and be amongst the first to experience all 8 unique puzzle boxes with 100 levels!","Parabéns por terminar a demo de Piece by Piece e obrigado por jogar!

Adicione o nosso jogo à sua lista de desejos na Steam e seja um dos primeiros a experimentar todas as 8 caixas de quebra-cabeça únicas com 100 níveis!"
SKIP_INTRO,Press any key to skip,Appuyez sur une touche pour poursuivre,,Presiona cualquier tecla para omitir,按任意键跳过,按任意鍵跳過,"Drücke eine Taste, um zu überspringen",Premi un tasto per continuare,"Нажмите любую клавишу, чтобы пропустить",건너뛰려면 아무 키나 누르세요,Press any key to skip,Press any key to skip,Pressione qualquer tecla para continuar
MOVE_CONTROLLER_TUTORIAL,[center][img=27]Assets/Sprites/Glyphs/LeftStick.tres[/img] to move[/center],[center][img=27]Assets/Sprites/Glyphs/LeftStick.tres[/img] pour se déplacer[/center],,[center][img=27]Assets/Sprites/Glyphs/LeftStick.tres[/img] mover[/center],[center][img=27]Assets/Sprites/Glyphs/LeftStick.tres[/img] 移动 [/center],[center][img=27]Assets/Sprites/Glyphs/LeftStick.tres[/img] 移動 [/center],[center][img=27]Assets/Sprites/Glyphs/LeftStick.tres[/img] bewegen[/center],[center][img=27]Assets/Sprites/Glyphs/LeftStick.tres[/img]per muoverti[/center],[center][img=27]Assets/Sprites/Glyphs/LeftStick.tres[/img] для перемещения[/center],[center][img=27]Assets/Sprites/Glyphs/LeftStick.tres[/img] 이동하다[/center],[center][img=27]Assets/Sprites/Glyphs/LeftStick.tres[/img] to move[/center],[center][img=27]Assets/Sprites/Glyphs/LeftStick.tres[/img] to move[/center],[center][img=27]Assets/Sprites/Glyphs/LeftStick.tres[/img] para mover[/center]
MOVE_KEYBOARD_TUTORIAL,[center][img=27]Assets/Sprites/Glyphs/W.tres[/img][img=27]Assets/Sprites/Glyphs/A.tres[/img][img=27]Assets/Sprites/Glyphs/S.tres[/img][img=27]Assets/Sprites/Glyphs/D.tres[/img] to move[/center],[center][img=27]Assets/Sprites/Glyphs/W.tres[/img][img=27]Assets/Sprites/Glyphs/A.tres[/img][img=27]Assets/Sprites/Glyphs/S.tres[/img][img=27]Assets/Sprites/Glyphs/D.tres[/img] pour se déplacer[/center],,[center][img=27]Assets/Sprites/Glyphs/W.tres[/img][img=27]Assets/Sprites/Glyphs/A.tres[/img][img=27]Assets/Sprites/Glyphs/S.tres[/img][img=27]Assets/Sprites/Glyphs/D.tres[/img] mover[/center],[center][img=27]Assets/Sprites/Glyphs/W.tres[/img][img=27]Assets/Sprites/Glyphs/A.tres[/img][img=27]Assets/Sprites/Glyphs/S.tres[/img][img=27]Assets/Sprites/Glyphs/D.tres[/img] 移动 [/center],[center][img=27]Assets/Sprites/Glyphs/W.tres[/img][img=27]Assets/Sprites/Glyphs/A.tres[/img][img=27]Assets/Sprites/Glyphs/S.tres[/img][img=27]Assets/Sprites/Glyphs/D.tres[/img] 移動 [/center],[center][img=27]Assets/Sprites/Glyphs/W.tres[/img][img=27]Assets/Sprites/Glyphs/A.tres[/img][img=27]Assets/Sprites/Glyphs/S.tres[/img][img=27]Assets/Sprites/Glyphs/D.tres[/img] bewegen[/center],[center][img=27]Assets/Sprites/Glyphs/W.tres[/img][img=27]Assets/Sprites/Glyphs/A.tres[/img][img=27]Assets/Sprites/Glyphs/S.tres[/img][img=27]Assets/Sprites/Glyphs/D.tres[/img] per muoverti[/center],[center][img=27]Assets/Sprites/Glyphs/W.tres[/img][img=27]Assets/Sprites/Glyphs/A.tres[/img][img=27]Assets/Sprites/Glyphs/S.tres[/img][img=27]Assets/Sprites/Glyphs/D.tres[/img] для перемещения[/center],[center][img=27]Assets/Sprites/Glyphs/W.tres[/img][img=27]Assets/Sprites/Glyphs/A.tres[/img][img=27]Assets/Sprites/Glyphs/S.tres[/img][img=27]Assets/Sprites/Glyphs/D.tres[/img] 이동하다[/center],[center][img=27]Assets/Sprites/Glyphs/W.tres[/img][img=27]Assets/Sprites/Glyphs/A.tres[/img][img=27]Assets/Sprites/Glyphs/S.tres[/img][img=27]Assets/Sprites/Glyphs/D.tres[/img] to move[/center],[center][img=27]Assets/Sprites/Glyphs/W.tres[/img][img=27]Assets/Sprites/Glyphs/A.tres[/img][img=27]Assets/Sprites/Glyphs/S.tres[/img][img=27]Assets/Sprites/Glyphs/D.tres[/img] to move[/center],[center][img=27]Assets/Sprites/Glyphs/W.tres[/img][img=27]Assets/Sprites/Glyphs/A.tres[/img][img=27]Assets/Sprites/Glyphs/S.tres[/img][img=27]Assets/Sprites/Glyphs/D.tres[/img] para mover[/center]
